,payment_id,customer_id,staff_id,rental_id,amount,payment_date
48,17551,352,1,1780,4.99,2007-02-16 17:40:11.996577
49,17552,352,2,3331,4.99,2007-02-21 08:06:19.996577
50,17553,353,2,1359,2.99,2007-02-15 11:58:56.996577
51,17554,353,2,1928,7.99,2007-02-17 05:16:57.996577
52,17555,353,2,3233,6.99,2007-02-21 01:07:57.996577
53,17556,354,1,1491,0.99,2007-02-15 20:16:44.996577
54,17557,354,1,2275,4.99,2007-02-18 04:59:55.996577
55,17558,354,1,2769,6.99,2007-02-19 16:20:40.996577
56,17559,354,1,3139,2.99,2007-02-20 18:13:11.996577
57,17560,355,2,1488,0.99,2007-02-15 20:08:20.996577
58,17561,355,1,1612,2.99,2007-02-16 05:20:31.996577
59,17562,356,1,1410,0.99,2007-02-15 15:28:12.996577
60,17563,356,1,2405,2.99,2007-02-18 15:05:04.996577
61,17564,356,1,2433,4.99,2007-02-18 16:38:43.996577
62,17565,357,2,1246,5.99,2007-02-15 03:39:45.996577
63,17566,357,1,1788,1.99,2007-02-16 18:15:44.996577
64,17567,357,2,1971,1.99,2007-02-17 07:52:25.996577
65,17568,357,2,2153,6.99,2007-02-17 21:26:30.996577
66,17569,358,1,1455,2.99,2007-02-15 18:19:32.996577
67,17570,358,2,1908,0.99,2007-02-17 03:39:02.996577
68,17571,358,1,2114,5.99,2007-02-17 18:28:51.996577
69,17572,358,1,2721,2.99,2007-02-19 13:21:50.996577
70,17573,358,1,2749,2.99,2007-02-19 14:56:01.996577
71,17574,358,1,3245,2.99,2007-02-21 01:34:37.996577
72,17575,359,2,1329,4.99,2007-02-15 09:53:32.996577
73,17576,359,2,1770,1.99,2007-02-16 16:36:21.996577
74,17577,359,1,2401,0.99,2007-02-18 14:50:29.996577
75,17578,359,1,2736,4.99,2007-02-19 14:11:46.996577
76,17579,360,2,1492,0.99,2007-02-15 20:17:01.996577
77,17580,360,2,2402,6.99,2007-02-18 14:53:11.996577
78,17581,360,2,2541,3.99,2007-02-19 00:36:36.996577
79,17582,360,2,2780,6.99,2007-02-19 16:47:59.996577
80,17583,361,2,2353,4.99,2007-02-18 11:21:51.996577
81,17584,361,2,2558,1.99,2007-02-19 01:37:42.996577
82,17585,361,1,2851,2.99,2007-02-19 21:35:29.996577
83,17586,361,2,3303,2.99,2007-02-21 06:02:40.996577
84,17587,362,1,1429,2.99,2007-02-15 16:52:36.996577
85,17588,362,1,1529,2.99,2007-02-15 23:06:01.996577
86,17589,362,1,1615,2.99,2007-02-16 05:28:54.996577
87,17590,362,2,3197,2.99,2007-02-20 22:35:49.996577
88,17591,362,2,3393,2.99,2007-02-21 13:42:53.996577
89,17592,363,2,1426,4.99,2007-02-15 16:44:50.996577
90,17593,363,2,1569,4.99,2007-02-16 01:47:35.996577
91,17594,363,1,1847,4.99,2007-02-16 22:33:48.996577
92,17595,363,1,2540,4.99,2007-02-19 00:33:14.996577
93,17596,363,2,3281,2.99,2007-02-21 04:37:13.996577
94,17597,364,1,1722,2.99,2007-02-16 13:41:18.996577
95,17598,364,2,2442,2.99,2007-02-18 17:17:44.996577
96,17599,364,2,2606,4.99,2007-02-19 05:19:58.996577
97,17600,364,2,2857,4.99,2007-02-19 21:43:41.996577
98,17601,364,2,2962,3.99,2007-02-20 06:00:21.996577
99,17602,365,1,1303,1.99,2007-02-15 08:24:23.996577
100,17603,365,1,1578,6.99,2007-02-16 02:36:42.996577
101,17604,365,1,1983,4.99,2007-02-17 08:50:39.996577
102,17605,365,1,2525,2.99,2007-02-18 23:16:48.996577
103,17606,365,2,3156,0.99,2007-02-20 19:32:12.996577
104,17607,366,2,1401,1.99,2007-02-15 14:58:48.996577
105,17608,366,2,2214,0.99,2007-02-18 01:13:03.996577
106,17609,367,1,3078,0.99,2007-02-20 13:38:14.996577
107,17610,368,1,1186,0.99,2007-02-14 23:25:11.996577
108,17611,368,1,1513,9.99,2007-02-15 21:21:56.996577
109,17612,368,1,2531,4.99,2007-02-18 23:49:15.996577
110,17613,368,1,2694,4.99,2007-02-19 11:45:47.996577
111,17614,368,1,2744,4.99,2007-02-19 14:49:06.996577
112,17615,368,2,3275,4.99,2007-02-21 04:01:30.996577
113,17616,369,1,1224,0.99,2007-02-15 02:12:51.996577
114,17617,370,2,1190,6.99,2007-02-14 23:33:58.996577
115,17618,371,2,1212,2.99,2007-02-15 01:31:59.996577
116,17619,371,1,1218,1.99,2007-02-15 01:53:10.996577
117,17620,371,1,1573,6.99,2007-02-16 02:00:05.996577
118,17621,371,2,1675,5.99,2007-02-16 09:33:13.996577
119,17622,371,2,2837,0.99,2007-02-19 20:32:16.996577
120,17623,371,1,3176,3.99,2007-02-20 21:00:20.996577
121,17624,371,2,3396,0.99,2007-02-21 13:51:34.996577
122,17625,372,1,2315,2.99,2007-02-18 07:32:05.996577
123,17626,372,1,2959,4.99,2007-02-20 05:36:20.996577
124,17627,372,1,3283,3.99,2007-02-21 04:47:33.996577
125,17628,373,1,1472,6.99,2007-02-15 19:23:21.996577
126,17629,373,1,3161,2.99,2007-02-20 19:49:27.996577
127,17630,374,1,1548,1.99,2007-02-16 00:11:59.996577
128,17631,374,2,2046,1.99,2007-02-17 13:08:16.996577
129,17632,374,2,2487,4.99,2007-02-18 20:01:20.996577
130,17633,374,2,2641,2.99,2007-02-19 08:06:59.996577
131,17634,375,2,1404,2.99,2007-02-15 15:07:19.996577
132,17635,375,1,1499,5.99,2007-02-15 20:26:33.996577
133,17636,375,1,2236,4.99,2007-02-18 02:40:59.996577
134,17637,376,2,1208,0.99,2007-02-15 00:58:29.996577
135,17638,376,1,2779,0.99,2007-02-19 16:47:33.996577
136,17639,377,2,2556,3.99,2007-02-19 01:35:58.996577
137,17640,377,1,3080,1.99,2007-02-20 13:50:58.996577
138,17641,377,2,3086,0.99,2007-02-20 14:11:06.996577
139,17642,377,2,3136,2.99,2007-02-20 18:07:34.996577
140,17643,377,2,3443,4.99,2007-02-21 18:47:26.996577
141,17644,378,2,1623,4.99,2007-02-16 06:17:16.996577
142,17645,378,1,1662,5.99,2007-02-16 08:42:01.996577
143,17646,378,2,2134,7.99,2007-02-17 19:42:10.996577
144,17647,378,2,2713,4.99,2007-02-19 12:51:35.996577
145,17648,379,1,1383,8.99,2007-02-15 13:48:32.996577
146,17649,379,1,2313,5.99,2007-02-18 07:25:11.996577
147,17650,379,1,2926,2.99,2007-02-20 03:06:11.996577
148,17651,380,1,1868,3.99,2007-02-17 00:31:48.996577
149,17652,380,1,1984,2.99,2007-02-17 08:53:54.996577
150,17653,380,1,2018,3.99,2007-02-17 11:04:24.996577
151,17654,380,1,2440,2.99,2007-02-18 17:09:35.996577
152,17655,380,1,2464,4.99,2007-02-18 18:34:31.996577
153,17656,380,2,2998,1.99,2007-02-20 07:58:48.996577
154,17657,380,2,3099,1.99,2007-02-20 15:12:59.996577
155,17658,380,1,3260,4.99,2007-02-21 02:27:39.996577
156,17659,381,1,1402,3.99,2007-02-15 14:59:34.996577
157,17660,381,1,1878,1.99,2007-02-17 01:23:58.996577
158,17661,381,2,2410,2.99,2007-02-18 15:23:34.996577
159,17662,381,1,2418,4.99,2007-02-18 15:43:08.996577
160,17663,381,2,3425,2.99,2007-02-21 16:35:33.996577
161,17664,382,1,2389,0.99,2007-02-18 13:56:13.996577
162,17665,382,1,2468,4.99,2007-02-18 18:52:18.996577
163,17666,382,1,2489,1.99,2007-02-18 20:29:10.996577
164,17667,382,1,2514,2.99,2007-02-18 22:25:10.996577
165,17668,382,2,3125,4.99,2007-02-20 17:00:24.996577
166,17669,383,1,1831,7.99,2007-02-16 20:50:43.996577
167,17670,383,2,2228,2.99,2007-02-18 02:13:16.996577
168,17671,383,1,2252,2.99,2007-02-18 03:33:44.996577
169,17672,383,2,2318,2.99,2007-02-18 07:42:20.996577
170,17673,383,1,2609,7.99,2007-02-19 05:41:38.996577
171,17674,383,1,3091,2.99,2007-02-20 14:31:25.996577
172,17675,384,1,1961,0.99,2007-02-17 07:31:24.996577
173,17676,384,2,2020,0.99,2007-02-17 11:08:16.996577
174,17677,384,1,2378,7.99,2007-02-18 13:26:15.996577
175,17678,384,2,2510,5.99,2007-02-18 22:12:47.996577
176,17679,384,2,2935,3.99,2007-02-20 03:35:50.996577
177,17680,384,1,3088,9.99,2007-02-20 14:24:31.996577
178,17681,384,2,3101,4.99,2007-02-20 15:17:24.996577
179,17682,385,1,1746,2.99,2007-02-16 15:09:45.996577
180,17683,385,1,1937,0.99,2007-02-17 05:45:12.996577
181,17684,385,1,3105,0.99,2007-02-20 15:40:12.996577
182,17685,386,2,1585,3.99,2007-02-16 03:19:39.996577
183,17686,386,1,1608,2.99,2007-02-16 04:57:23.996577
184,17687,386,2,1819,5.99,2007-02-16 20:01:16.996577
185,17688,386,1,2732,0.99,2007-02-19 13:48:05.996577
186,17689,386,1,3351,2.99,2007-02-21 09:50:05.996577
187,17690,387,1,1464,0.99,2007-02-15 19:06:40.996577
188,17691,387,2,1465,0.99,2007-02-15 19:11:34.996577
189,17692,387,1,2068,0.99,2007-02-17 14:40:12.996577
190,17693,387,2,2100,0.99,2007-02-17 17:21:47.996577
191,17694,387,2,2981,5.99,2007-02-20 07:03:43.996577
192,17695,387,2,3378,4.99,2007-02-21 12:19:54.996577
193,17696,388,2,1276,6.99,2007-02-15 06:28:39.996577
194,17697,388,1,2145,0.99,2007-02-17 20:39:02.996577
195,17698,388,1,2537,5.99,2007-02-19 00:20:47.996577
196,17699,388,1,2692,4.99,2007-02-19 11:36:45.996577
197,17700,388,2,3159,7.99,2007-02-20 19:40:16.996577
198,17701,389,1,1763,4.99,2007-02-16 16:19:27.996577
199,17702,389,1,1946,4.99,2007-02-17 06:27:05.996577
200,17703,389,1,2552,3.99,2007-02-19 01:29:55.996577
201,17704,390,2,1539,5.99,2007-02-15 23:39:51.996577
202,17705,390,2,1730,2.99,2007-02-16 13:58:27.996577
203,17706,390,2,1893,2.99,2007-02-17 02:47:03.996577
204,17707,390,1,2330,7.99,2007-02-18 09:09:45.996577
205,17708,390,1,3147,5.99,2007-02-20 18:53:43.996577
206,17709,391,2,1232,0.99,2007-02-15 02:46:36.996577
207,17710,391,2,1931,0.99,2007-02-17 05:20:22.996577
208,17711,391,1,2045,2.99,2007-02-17 13:06:37.996577
209,17712,391,1,2690,2.99,2007-02-19 11:28:28.996577
210,17713,391,2,3163,2.99,2007-02-20 19:50:39.996577
211,17714,392,2,1530,6.99,2007-02-15 23:06:33.996577
212,17715,392,2,1764,2.99,2007-02-16 16:20:20.996577
213,17716,392,2,2289,2.99,2007-02-18 05:58:09.996577
214,17717,392,2,2890,4.99,2007-02-20 00:29:11.996577
215,17718,393,1,1611,6.99,2007-02-16 05:10:01.996577
216,17719,393,2,1915,1.99,2007-02-17 03:56:54.996577
217,17720,393,2,2219,2.99,2007-02-18 01:45:20.996577
218,17721,393,1,2319,4.99,2007-02-18 07:52:48.996577
219,17722,393,2,3001,2.99,2007-02-20 08:18:42.996577
220,17723,394,2,1324,4.99,2007-02-15 09:31:11.996577
221,17724,395,1,1270,0.99,2007-02-15 05:58:48.996577
222,17725,395,1,1562,0.99,2007-02-16 01:14:53.996577
223,17726,395,2,1603,0.99,2007-02-16 04:42:29.996577
224,17727,395,1,3030,4.99,2007-02-20 10:20:25.996577
225,17728,395,1,3310,0.99,2007-02-21 06:33:17.996577
226,17729,395,1,3389,6.99,2007-02-21 13:06:21.996577
227,17730,396,2,1370,1.99,2007-02-15 12:59:31.996577
228,17731,396,2,1385,4.99,2007-02-15 13:56:49.996577
229,17732,396,2,1408,6.99,2007-02-15 15:26:24.996577
230,17733,397,1,1769,5.99,2007-02-16 16:36:14.996577
231,17734,397,2,3027,1.99,2007-02-20 10:18:56.996577
232,17735,398,2,1228,2.99,2007-02-15 02:19:02.996577
233,17736,398,1,2087,6.99,2007-02-17 16:03:36.996577
234,17737,398,2,3141,9.99,2007-02-20 18:24:13.996577
235,17738,399,2,2961,2.99,2007-02-20 05:57:41.996577
236,17739,399,1,3036,5.99,2007-02-20 10:46:57.996577
237,17740,400,2,1364,0.99,2007-02-15 12:33:58.996577
238,17741,400,1,1917,3.99,2007-02-17 04:04:33.996577
239,17742,400,2,1923,6.99,2007-02-17 04:34:36.996577
240,17743,402,2,1194,4.99,2007-02-14 23:53:34.996577
241,17744,402,2,2490,4.99,2007-02-18 20:29:16.996577
242,17745,402,2,2913,2.99,2007-02-20 02:10:53.996577
243,17746,403,2,1221,4.99,2007-02-15 02:03:42.996577
244,17747,403,1,1249,8.99,2007-02-15 04:06:35.996577
245,17748,403,2,2488,3.99,2007-02-18 20:06:52.996577
246,17749,403,1,2927,4.99,2007-02-20 03:10:07.996577
247,17750,403,2,3049,6.99,2007-02-20 11:19:27.996577
248,17751,403,1,3356,5.99,2007-02-21 10:07:11.996577
249,17752,404,2,1506,2.99,2007-02-15 20:48:03.996577
250,17753,404,2,1840,4.99,2007-02-16 22:08:00.996577
251,17754,404,1,2715,4.99,2007-02-19 12:58:01.996577
252,17755,404,1,2951,2.99,2007-02-20 04:51:27.996577
253,17756,405,2,1315,4.99,2007-02-15 08:51:34.996577
254,17757,405,1,1888,0.99,2007-02-17 02:27:02.996577
255,17758,405,2,1953,5.99,2007-02-17 07:03:23.996577
256,17759,405,2,2654,3.99,2007-02-19 09:06:20.996577
257,17760,405,1,3240,4.99,2007-02-21 01:21:43.996577
258,17761,405,1,3253,5.99,2007-02-21 01:54:03.996577
259,17762,406,1,2113,4.99,2007-02-17 18:26:12.996577
260,17763,406,2,2150,3.99,2007-02-17 21:19:02.996577
261,17764,406,1,2241,2.99,2007-02-18 03:00:07.996577
262,17765,406,2,2325,0.99,2007-02-18 08:36:33.996577
263,17766,406,2,2585,0.99,2007-02-19 03:33:29.996577
264,17767,406,1,3186,7.99,2007-02-20 21:32:46.996577
265,17768,406,1,3306,4.99,2007-02-21 06:15:24.996577
266,17769,407,1,1698,2.99,2007-02-16 11:33:08.996577
267,17770,407,2,2597,0.99,2007-02-19 04:22:12.996577
268,17771,408,2,2479,4.99,2007-02-18 19:31:34.996577
269,17772,408,1,2564,2.99,2007-02-19 02:09:36.996577
270,17773,408,2,2728,2.99,2007-02-19 13:32:30.996577
271,17774,409,2,1226,5.99,2007-02-15 02:14:36.996577
272,17775,409,2,2310,8.99,2007-02-18 07:14:25.996577
273,17776,410,1,1514,2.99,2007-02-15 21:26:00.996577
274,17777,410,1,2073,2.99,2007-02-17 15:02:25.996577
275,17778,410,1,2255,4.99,2007-02-18 03:49:38.996577
276,17779,410,2,2400,5.99,2007-02-18 14:39:12.996577
277,17780,410,2,2971,0.99,2007-02-20 06:24:26.996577
278,17781,410,1,3249,4.99,2007-02-21 01:41:45.996577
279,17782,411,1,1985,0.99,2007-02-17 09:00:03.996577
280,17783,411,2,1997,2.99,2007-02-17 09:48:09.996577
281,17784,411,2,2712,0.99,2007-02-19 12:48:39.996577
282,17785,412,1,3292,2.99,2007-02-21 05:27:37.996577
283,17786,413,2,2130,5.99,2007-02-17 19:29:10.996577
284,17787,413,2,2545,4.99,2007-02-19 00:52:02.996577
285,17788,414,1,2246,4.99,2007-02-18 03:22:55.996577
286,17789,414,1,2559,9.99,2007-02-19 01:38:12.996577
287,17790,414,1,3318,5.99,2007-02-21 06:51:31.996577
288,17791,415,2,1867,4.99,2007-02-17 00:30:03.996577
289,17792,415,1,3211,2.99,2007-02-20 23:29:55.996577
290,17793,416,2,1158,2.99,2007-02-14 21:21:59.996577
291,17794,416,1,1343,4.99,2007-02-15 10:55:45.996577
292,17795,416,2,1553,0.99,2007-02-16 00:31:10.996577
293,17796,416,2,1596,2.99,2007-02-16 03:59:24.996577
294,17797,416,2,1771,0.99,2007-02-16 16:40:43.996577
295,17798,417,1,1921,3.99,2007-02-17 04:32:42.996577
296,17799,418,1,2825,2.99,2007-02-19 19:00:45.996577
297,17800,418,2,2943,2.99,2007-02-20 04:11:31.996577
298,17801,418,2,2969,2.99,2007-02-20 06:12:53.996577
299,17802,419,2,2793,2.99,2007-02-19 17:21:03.996577
300,17803,420,2,2672,3.99,2007-02-19 10:10:30.996577
301,17804,420,1,2698,0.99,2007-02-19 11:57:37.996577
302,17805,420,1,2726,0.99,2007-02-19 13:30:46.996577
303,17806,421,1,1693,4.99,2007-02-16 11:08:17.996577
304,17807,421,2,2407,2.99,2007-02-18 15:19:07.996577
305,17808,421,1,3170,4.99,2007-02-20 20:31:20.996577
306,17809,422,1,1846,0.99,2007-02-16 22:31:10.996577
307,17810,422,1,1897,4.99,2007-02-17 02:54:49.996577
308,17811,422,2,2747,2.99,2007-02-19 14:50:33.996577
309,17812,422,1,2778,5.99,2007-02-19 16:46:38.996577
310,17813,423,1,1504,3.99,2007-02-15 20:36:32.996577
311,17814,423,2,1827,0.99,2007-02-16 20:23:06.996577
312,17815,423,1,2600,6.99,2007-02-19 04:35:51.996577
313,17816,423,2,2758,6.99,2007-02-19 15:33:01.996577
314,17817,423,1,3072,8.99,2007-02-20 12:49:57.996577
315,17818,424,2,3044,4.99,2007-02-20 11:07:15.996577
316,17819,424,1,3166,6.99,2007-02-20 20:00:58.996577
317,17820,424,2,3404,0.99,2007-02-21 14:26:18.996577
318,17821,425,1,3276,6.99,2007-02-21 04:04:18.996577
319,17822,426,1,1709,6.99,2007-02-16 12:38:41.996577
320,17823,426,1,1842,7.99,2007-02-16 22:14:25.996577
321,17824,426,1,2204,2.99,2007-02-18 00:40:04.996577
322,17825,426,1,2804,0.99,2007-02-19 17:53:20.996577
323,17826,426,1,3243,0.99,2007-02-21 01:28:37.996577
324,17827,427,1,1342,5.99,2007-02-15 10:54:47.996577
325,17828,427,2,1628,3.99,2007-02-16 06:21:21.996577
326,17829,427,1,1648,5.99,2007-02-16 07:45:33.996577
327,17830,427,1,1857,1.99,2007-02-16 23:41:24.996577
328,17831,427,2,2466,0.99,2007-02-18 18:47:08.996577
329,17832,428,1,1227,3.99,2007-02-15 02:18:29.996577
330,17833,428,2,1471,2.99,2007-02-15 19:21:52.996577
331,17834,428,1,1601,3.99,2007-02-16 04:39:39.996577
332,17835,428,1,2677,2.99,2007-02-19 10:30:25.996577
333,17836,428,2,3377,0.99,2007-02-21 12:19:38.996577
334,17837,429,2,1781,5.99,2007-02-16 17:48:50.996577
335,17838,429,2,1798,2.99,2007-02-16 18:44:41.996577
336,17839,429,2,1916,7.99,2007-02-17 03:58:25.996577
337,17840,429,1,3409,2.99,2007-02-21 14:46:04.996577
338,17841,430,2,1207,0.99,2007-02-15 00:55:34.996577
339,17842,430,1,1274,2.99,2007-02-15 06:21:18.996577
340,17843,430,1,1538,2.99,2007-02-15 23:34:16.996577
341,17844,430,1,1759,6.99,2007-02-16 16:15:03.996577
342,17845,430,2,2892,0.99,2007-02-20 00:35:05.996577
343,17846,430,2,3153,0.99,2007-02-20 19:12:41.996577
344,17847,431,2,1561,2.99,2007-02-16 01:09:56.996577
345,17848,431,1,2096,4.99,2007-02-17 17:01:30.996577
346,17849,431,1,2269,3.99,2007-02-18 04:49:20.996577
347,17850,431,2,2281,4.99,2007-02-18 05:15:55.996577
348,17851,431,2,2761,2.99,2007-02-19 15:50:43.996577
349,17852,431,2,3304,6.99,2007-02-21 06:12:06.996577
350,17853,431,2,3369,8.99,2007-02-21 11:48:57.996577
351,17854,432,2,1180,5.99,2007-02-14 23:07:27.996577
352,17855,432,2,1597,2.99,2007-02-16 04:15:29.996577
353,17856,432,2,3194,4.99,2007-02-20 22:28:23.996577
354,17857,434,1,1225,0.99,2007-02-15 02:14:01.996577
355,17858,434,2,1584,5.99,2007-02-16 03:19:16.996577
356,17859,434,2,2415,7.99,2007-02-18 15:31:08.996577
357,17860,434,1,2430,3.99,2007-02-18 16:20:12.996577
358,17861,434,1,2494,3.99,2007-02-18 20:43:35.996577
359,17862,434,1,3014,2.99,2007-02-20 09:13:46.996577
360,17863,434,2,3037,2.99,2007-02-20 10:56:29.996577
361,17864,435,2,1443,0.99,2007-02-15 17:26:17.996577
362,17865,435,1,2984,0.99,2007-02-20 07:12:10.996577
363,17866,436,1,2291,9.99,2007-02-18 06:05:12.996577
364,17867,437,2,2239,5.99,2007-02-18 02:52:20.996577
365,17868,437,1,2792,2.99,2007-02-19 17:20:51.996577
366,17869,437,2,3265,2.99,2007-02-21 02:51:39.996577
367,17870,438,1,1431,4.99,2007-02-15 16:54:55.996577
368,17871,438,2,1779,0.99,2007-02-16 17:23:37.996577
369,17872,438,2,2206,0.99,2007-02-18 00:43:11.996577
370,17873,438,1,2591,4.99,2007-02-19 04:00:48.996577
371,17874,438,1,3315,4.99,2007-02-21 06:45:30.996577
372,17875,438,2,3368,0.99,2007-02-21 11:47:04.996577
373,17876,439,1,1264,4.99,2007-02-15 05:28:05.996577
374,17877,439,2,1557,0.99,2007-02-16 00:57:01.996577
375,17878,439,2,2097,4.99,2007-02-17 17:08:30.996577
376,17879,439,1,2621,2.99,2007-02-19 06:35:57.996577
377,17880,439,1,2992,2.99,2007-02-20 07:40:17.996577
378,17881,439,1,3294,6.99,2007-02-21 05:31:49.996577
379,17882,441,1,1602,4.99,2007-02-16 04:41:06.996577
380,17883,441,2,2328,4.99,2007-02-18 08:45:47.996577
381,17884,442,1,1251,5.99,2007-02-15 04:27:21.996577
382,17885,442,2,1358,0.99,2007-02-15 11:57:14.996577
383,17886,442,2,1576,8.99,2007-02-16 02:23:05.996577
384,17887,442,1,1774,2.99,2007-02-16 16:56:18.996577
385,17888,443,1,2871,2.99,2007-02-19 22:56:15.996577
386,17889,444,1,1239,0.99,2007-02-15 03:21:27.996577
387,17890,444,2,1397,3.99,2007-02-15 14:53:52.996577
388,17891,444,2,1441,1.99,2007-02-15 17:22:47.996577
389,17892,444,1,2551,4.99,2007-02-19 01:19:30.996577
390,17893,444,2,3301,7.99,2007-02-21 06:00:51.996577
391,17894,444,2,3415,5.99,2007-02-21 15:28:15.996577
392,17895,446,1,2248,4.99,2007-02-18 03:28:14.996577
393,17896,446,2,2335,3.99,2007-02-18 09:28:02.996577
394,17897,446,2,2520,6.99,2007-02-18 22:57:26.996577
395,17898,446,2,2710,0.99,2007-02-19 12:32:22.996577
396,17899,446,1,3060,2.99,2007-02-20 12:15:46.996577
397,17900,446,2,3168,0.99,2007-02-20 20:14:27.996577
398,17901,447,2,1230,0.99,2007-02-15 02:32:35.996577
399,17902,447,2,1890,2.99,2007-02-17 02:34:39.996577
400,17903,447,1,2025,4.99,2007-02-17 11:32:26.996577
401,17904,447,2,2285,4.99,2007-02-18 05:29:20.996577
402,17905,448,1,1313,5.99,2007-02-15 08:47:00.996577
403,17906,448,2,1823,7.99,2007-02-16 20:16:42.996577
404,17907,448,2,2697,0.99,2007-02-19 11:57:34.996577
405,17908,448,2,3225,3.99,2007-02-21 00:45:21.996577
406,17909,448,2,3347,5.99,2007-02-21 09:36:58.996577
407,17910,449,2,1295,4.99,2007-02-15 07:45:46.996577
408,17911,449,1,2348,0.99,2007-02-18 10:44:09.996577
409,17912,449,2,2970,2.99,2007-02-20 06:20:17.996577
410,17913,450,2,1639,4.99,2007-02-16 07:02:05.996577
411,17914,450,1,1739,0.99,2007-02-16 14:38:04.996577
412,17915,450,2,1914,2.99,2007-02-17 03:54:20.996577
413,17916,450,2,2278,0.99,2007-02-18 05:06:23.996577
414,17917,450,1,2501,4.99,2007-02-18 21:38:37.996577
415,17918,450,1,2626,2.99,2007-02-19 06:57:10.996577
416,17919,450,1,3155,4.99,2007-02-20 19:31:04.996577
417,17920,451,1,1202,0.99,2007-02-15 00:36:30.996577
418,17921,451,1,1851,0.99,2007-02-16 23:00:52.996577
419,17922,451,1,1940,6.99,2007-02-17 06:10:48.996577
420,17923,451,1,2671,1.99,2007-02-19 10:01:37.996577
421,17924,451,1,2909,3.99,2007-02-20 01:47:36.996577
422,17925,451,2,2917,0.99,2007-02-20 02:37:01.996577
423,17926,451,1,3316,6.99,2007-02-21 06:48:44.996577
424,17927,452,2,1203,4.99,2007-02-15 00:37:28.996577
425,17928,452,1,1512,5.99,2007-02-15 21:21:29.996577
426,17929,452,1,1794,3.99,2007-02-16 18:37:03.996577
427,17930,452,1,2263,0.99,2007-02-18 04:26:13.996577
428,17931,452,2,2266,4.99,2007-02-18 04:33:28.996577
429,17932,452,1,2504,0.99,2007-02-18 21:48:19.996577
430,17933,452,2,2661,0.99,2007-02-19 09:19:18.996577
431,17934,453,2,2852,5.99,2007-02-19 21:37:16.996577
432,17935,453,1,2853,7.99,2007-02-19 21:38:07.996577
433,17936,453,2,2887,4.99,2007-02-20 00:08:09.996577
434,17937,454,2,1647,4.99,2007-02-16 07:43:24.996577
